,SRAD
SRAD,1.0
THMP,0.1666315828101359
RELH,0.16194067318715
TAIR,0.15421074296498283
WSSD,0.1077060906956433
WSMX,0.10201904988960475
WDSD,0.09752665459418086
WSPD,0.08739302779149138
WDIR,0.07311327447064464
WDMX,0.06008581219768061
TDPT,0.05923276659135901
WSMN,0.03173870158536918
PRCP,0.00778965279245547
