,WDMX
WDMX,1.0
WDIR,0.2663554208189689
TAIR,0.09998357742455788
THMP,0.09908061178459171
TDPT,0.07641810354526779
WSMX,0.07401296174421113
WSSD,0.06863751530119888
SRAD,0.06783994322803899
WSPD,0.0632797741975013
WDSD,0.043003805604937106
RELH,0.04254423808672225
WSMN,0.02879027964767822
PRCP,0.002850842832348377
