,PRCP
PRCP,1.0
THMP,0.019452739323392976
TDPT,0.015944064785356815
RELH,0.013739721174516717
TAIR,0.013535533797160326
SRAD,0.011715868781747574
WSMX,0.007496227732829652
WSSD,0.006430999101478818
WSPD,0.0035402026318589463
WDMX,0.0033024328638351363
WDIR,0.0028021791140542263
WDSD,0.0014518085438464112
WSMN,0.0
