,WSPD
WSPD,1.0
WSMX,0.39714466864402986
WSSD,0.3582229901623384
RELH,0.1844598889773943
WDSD,0.17428056402201442
WSMN,0.15798395999984916
SRAD,0.15660439753997935
WDIR,0.11313700811655103
THMP,0.07865396722195594
TAIR,0.07780069206199602
WDMX,0.06271866522157499
TDPT,0.037379319538105804
PRCP,0.005799955330733297
