,TDPT
TAIR,1.2134711718757156
THMP,1.1928283648020148
TDPT,1.0
RELH,0.17837072263153164
WDMX,0.0831990525075259
SRAD,0.06644179708166753
WDIR,0.06344034628111128
WSMX,0.04706206928089962
WSPD,0.04226858409256273
WSSD,0.03525239771824307
WDSD,0.0194786883553153
PRCP,0.017790881831080796
WSMN,0.013871210518312083
