,WSMX
WSMX,1.0
WSSD,0.4113553778345187
WSPD,0.38215482020211766
RELH,0.21015585625293465
WDSD,0.20477713844527035
SRAD,0.19368390659245183
WSMN,0.1585517427884673
WDIR,0.1255425449221086
THMP,0.09471478567861347
TAIR,0.09205352431491054
WDMX,0.07716040806807634
TDPT,0.042039979582209064
PRCP,0.006552118438175825
