,RELH
RELH,1.0
SRAD,0.3869451550703866
WSMX,0.26443379606138606
THMP,0.2629091275070321
WSSD,0.25577014862101244
TAIR,0.2501379710569047
WSPD,0.22163714368861687
TDPT,0.17786026960950974
WDSD,0.16371530922187016
WDIR,0.09086987576195593
WSMN,0.0894170943226209
WDMX,0.06583899395028148
PRCP,0.027078691110698827
