,WDIR
WDIR,1.0
WDMX,0.2653475082872996
WSMX,0.12685844961717496
WSSD,0.10982111756873447
WSPD,0.1046369889817731
SRAD,0.10404607990515569
TAIR,0.08779411350769006
THMP,0.0852441420205956
WDSD,0.07809311715521883
RELH,0.0658211863491811
TDPT,0.056914925297840036
WSMN,0.052418139758191984
PRCP,0.004904406559997909
