,TAIR
THMP,2.0570326211365
TDPT,1.2339121612685808
TAIR,1.0
RELH,0.26161319944743333
SRAD,0.2588788039041905
WDMX,0.1169245646838295
WSMX,0.10118422198155308
WDIR,0.09887441535596242
WSSD,0.09045083325246495
WDSD,0.08185047562071812
WSPD,0.07972381371410542
WSMN,0.020892321329437635
PRCP,0.014680940716150559
