,WDSD
WDSD,1.0
WSMX,0.18964127333480185
WSSD,0.18879260210569893
WSPD,0.16090940453337765
SRAD,0.14525361966998318
RELH,0.11433368259469123
WDIR,0.0793613752218425
WSMN,0.07192320583727696
TAIR,0.058109811401679146
THMP,0.05621380776093954
WDMX,0.046574494077137096
TDPT,0.015198832479388358
PRCP,0.005548423042851525
