,THMP
TAIR,1.9625370577005157
TDPT,1.2255980007623943
THMP,1.0
SRAD,0.26995885439906964
RELH,0.2615863783756023
WDMX,0.11934471800382607
WDIR,0.10471831600758197
WSMX,0.09868707199160731
WSSD,0.0870559674527609
WSPD,0.08019421218942568
WDSD,0.07961739043979321
WSMN,0.021498302173313277
PRCP,0.018172856122317782
