,WSMN
WSMN,1.0
WSMX,0.17200661996081834
WSPD,0.16889194495558613
WSSD,0.1468712631778919
RELH,0.08137051947257845
WDSD,0.0754975581105457
WDIR,0.062397677796925066
SRAD,0.055161568740733635
WDMX,0.032780778828394475
THMP,0.02313420142667333
TAIR,0.02169099128394869
TDPT,0.01563699579726041
PRCP,0.002434173749414903
