,WSSD
WSSD,1.0
WSMX,0.39942368944834783
WSPD,0.3312679232126099
RELH,0.19538379520258964
WDSD,0.1918459516516844
SRAD,0.18354798228556923
WSMN,0.12913843085925691
WDIR,0.1120464871385467
THMP,0.08163724088944502
TAIR,0.07544597224811866
WDMX,0.06283069012913955
TDPT,0.030492834205235297
PRCP,0.008923690836946108
