,ATT101
ATT101,1.0
ATT98,0.7589889262587205
ATT100,0.6273338105285824
ATT99,0.5940820645846757
ATT107,-0.572226282859303
ATT1,0.4011746761133128
ATT62,0.40062556828381723
ATT22,0.3948737678178994
ATT17,0.394290924865936
ATT115,0.3804605308572755
ATT12,0.37211263808075273
ATT112,-0.358660635652129
ATT8,0.3575459890494896
ATT10,0.352811787351447
ATT61,0.3523534203436222
ATT114,0.3501830332884422
ATT27,0.3471162130112224
ATT116,0.34701574368213994
ATT122,0.33875912922202356
ATT124,0.33675683734842315
ATT120,0.33332596518059676
ATT127,0.31968210498298366
ATT4,-0.3145028587907119
ATT70,0.30906934749563025
ATT41,0.3044689795167306
ATT23,-0.2970546731390062
ATT6,0.2823940637619644
ATT5,0.2803611270069695
ATT117,0.27865595385279684
ATT7,0.278410554519712
ATT42,0.27386952747452453
ATT18,-0.2737579436576898
ATT121,0.2679682978434002
ATT73,0.26531663221525786
ATT13,-0.2595280825668145
ATT2,0.25313354599071836
ATT108,-0.2516792726995107
ATT110,-0.25047565086139195
ATT89,0.2477550387346292
ATT32,-0.2412816191813925
ATT31,0.23424033744068506
ATT16,0.23082295409860815
ATT126,-0.22832117031086158
ATT21,0.22704469580558678
ATT109,0.2211723669777537
ATT28,-0.21585550400537393
ATT123,-0.21390628912157952
ATT128,0.21174632661255813
ATT26,0.20430617820467542
ATT11,0.20108829605819004
ATT19,-0.19805182442071115
ATT9,0.19249736027472905
ATT125,0.19227545765722454
ATT51,0.19222061749243932
ATT129,-0.18792674392588543
ATT15,0.18300403819742314
ATT119,0.1819444530003136
ATT111,-0.17727056995624824
ATT14,-0.175478663575103
ATT20,0.17465633965970745
ATT59,-0.16992465858071426
ATT66,-0.16981454214003527
ATT67,-0.16116497885992184
ATT24,-0.15842481866729335
ATT97,0.15301593585556467
ATT118,0.1465876433105345
ATT34,-0.1380058611414485
ATT55,-0.1330556280000892
ATT40,-0.13270982573805873
ATT130,-0.12720346657343923
Year,-0.12102444707335118
ATT57,-0.11735768682968443
ATT39,-0.11310401934714581
ATT71,-0.10978286560850055
ATT74,-0.10978286560850055
ATT95,-0.10918881542907356
ATT36,0.10749711097221143
ATT90,-0.09199529917872593
ATT91,-0.08274517280509806
ATT29,0.0799204134502347
Month,0.07806583953304627
ATT88,-0.07784885619153606
ATT25,0.0761702242399313
ATT92,-0.07598453107995691
ATT96,0.07531365532713678
ATT113,0.07210704644696864
ATT3,0.07087625175191307
ATT131,-0.05551280295984903
ATT30,0.041633878041889415
ATT68,-0.041543618588269424
Date,-0.04029983515929255
ATT56,0.03971707674033593
ATT94,0.03922579238280492
ATT53,0.02891350707317925
ATT72,0.02869491352329581
ATT75,0.02869491352329581
ATT35,0.028303483630059637
ATT132,-0.02621940772491482
ATT38,0.022128304862380085
ATT69,-0.019343094547069225
ATT37,-0.019144531527323507
ATT52,0.018226149276076742
ATT33,0.01047227876957181
Hour,0.009220981833400588
ATT58,-0.006876000511733281
ATT43,
ATT44,
ATT45,
ATT46,
ATT47,
ATT48,
ATT49,
ATT50,
ATT54,
ATT60,
ATT63,
ATT64,
ATT65,
ATT76,
ATT77,
ATT78,
ATT79,
ATT80,
ATT81,
ATT82,
ATT83,
ATT84,
ATT85,
ATT86,
ATT87,
ATT93,
