,SoilT_10cm
SoilT_10cm,1.0
SoilT_5cm,0.15002195091495463
SoilT_20cm,0.14978308174754076
SoilT_50cm,0.1494208700807538
SoilT_100cm,0.14913694756229523
Vitel_100cm_b,-0.07780806831383517
AirT_2m,0.03394641853793711
AirT_1pt5m,0.032433341460318545
PTemp,0.02856738327679799
Vitel_100cm_d,-0.02405297558430279
Temp_C,0.02283213752058139
Pressure_1,-0.021390262095709378
IRTS_Body,0.021051552141602488
SoilSfcT,0.018562286087436403
IRTS_Trgt,0.01832737249958935
WndDir_2m,0.017083329504494246
WndDir_10m,0.0162054767128418
WndSpd_Vert_Tot,-0.015926164875873686
WndSpd_Vert,-0.014748233611303459
WndSpd_10m_WVc_3,0.01421653730966209
WndSpd_10m_WVc_2,-0.014183978211068546
WndSpd_Vert_Min,-0.0139490863940623
WndSpd_2m_WVc_2,-0.013668196182387375
wfv,0.013603536042266374
WndSpd_10m_WVc_1,-0.01305376876196982
eR_tc,0.012599846082649765
AirT_10m,0.012523200070780964
eR,0.012416308799591326
AirT_9pt5m,0.012304260219253326
WndSpd_2m_WVc_1,-0.012282952365438662
QuantRadn,0.01195719402975322
WndSpd_Vert_Max,-0.011850417762857154
TotalRadn,0.011567455464282086
eI_tc,0.010934050403487473
SoilCond_tc,0.010934050374920162
WndSpd_10m,-0.010778410435616337
Hour,0.010407094770663579
WndSpd_2m_WVc_3,0.01010247911174501
WndSpd_2m,-0.009876897389025058
WndSpd_10m_Max,-0.009654397446150112
WndSpd_2m_Max,-0.00963892915752898
Vitel_100cm_c,0.009103529687714869
WndSpd_10m_WVc_4,0.007609898960457403
Minute,-0.00653029885592518
WndSpd_2m_Std,-0.004589660670687234
Pressure_2,-0.00406603007593845
SoilCond,-0.0030200956820736102
eI,-0.0030200954183971333
WndSpd_10m_Std,-0.002733817377141613
WndSpd_2m_WVc_4,0.002604437182354589
RH_10m,-0.0025410983576680734
Precip_TX_Today,0.0024677250763789097
Precip_TB3_Tot,-0.002436656153216456
Precip_TB3_Today,0.0021423837361404267
RH_2m,-0.0019337230560211964
Vitel_100cm_a,0.0008963628241689907
Precip_TX_Tot,-0.0008955548585770956
DayOfYear,0.00039224197778098605
NaCI,0.00010227431036094359
SoilType,
