,WDIR
WDIR,1.0
WDMX,0.5114147299056256
WSSD,0.3370336412819534
WSMX,0.3346024468243621
WSPD,0.3032282275945893
RELH,-0.280839563021973
WDSD,0.2707182153757982
SRAD,0.19728409402561445
WSMN,0.17430484390663079
THMP,0.1073703702007993
TAIR,0.10395471644971117
TDPT,-0.03163567447787128
PRCP,0.013419582171301072
