,THMP
THMP,1.0
TAIR,0.9989523386000004
TDPT,0.8636367802033001
SRAD,0.4541040224066309
RELH,-0.2796779085457415
WDSD,0.26350294860847345
WSSD,0.21410882916201932
WSMX,0.19092492409452155
WSPD,0.17502010230423798
WDIR,0.10879290825876982
WSMN,0.07161187377866113
WDMX,0.06323784414197656
PRCP,0.012037800965420748
