,WSMX
WSMX,1.0
WSPD,0.8835519481226103
WSSD,0.8648011441926424
WSMN,0.6325859015866804
RELH,-0.5671064108029438
WDSD,0.38191852833838197
SRAD,0.37124517214174796
WDIR,0.3306206694864618
WDMX,0.22967918619604183
THMP,0.1913112618864353
TAIR,0.19106221486386574
TDPT,-0.08398600386494998
PRCP,0.06260880117336484
