,WDSD
WDSD,1.0
WSSD,0.4214888127432065
RELH,-0.4153895054536752
SRAD,0.38568572934625384
WSMX,0.37023462567707954
WSPD,0.3087609245967823
THMP,0.2583654471287949
TAIR,0.25419203075823205
WDIR,0.2521074419526535
WDMX,0.13637749586530085
WSMN,0.09479874729277879
TDPT,0.056122000482406356
PRCP,0.0406588291452993
