,PRCP
PRCP,1.0
RELH,0.08603450848945401
WSMX,0.08138633100383844
WSPD,0.07702791562752571
WSSD,0.07650491195403393
SRAD,-0.06245267755747165
WSMN,0.061855678508465226
TDPT,0.06067025042016397
WDSD,0.04156727289354518
WDIR,0.025320814971217107
TAIR,0.019104714194037156
THMP,0.016107587745267046
WDMX,0.01196020232680056
