,SRAD
SRAD,1.0
RELH,-0.5883020754053355
THMP,0.4396826051091448
TAIR,0.42374932259302817
WSSD,0.3820108475258326
WDSD,0.3710893131844162
WSMX,0.35521541620036073
WSPD,0.3350430982639064
WDIR,0.19453013397886343
WSMN,0.16374931436091558
WDMX,0.14053290975667262
TDPT,0.13172852125327408
PRCP,-0.05871306368962084
