,TDPT
TDPT,1.0
TAIR,0.8714657685653309
THMP,0.8643883135172236
RELH,0.23266347430258535
SRAD,0.13184427259135964
WSMN,-0.08794532023091735
WSPD,-0.08778763923134789
WSMX,-0.08639416705253258
WSSD,-0.06607092139944477
PRCP,0.0601135021723697
WDSD,0.05647787200617463
WDMX,-0.0372501607703644
WDIR,-0.03174126690695274
