,RELH
RELH,1.0
SRAD,-0.6136363074604618
WSSD,-0.5739254882732545
WSMX,-0.5718465455066284
WSPD,-0.5446789467291744
WDSD,-0.42421002135939034
WSMN,-0.33840027034620396
WDIR,-0.28446054465990217
THMP,-0.27844541420648244
TAIR,-0.26492047866872787
TDPT,0.23405478224409773
WDMX,-0.1964064624149148
PRCP,0.09298188866186599
