,WSPD
WSPD,1.0
WSMX,0.8917717049019627
WSSD,0.8235788461829334
WSMN,0.6952148239767093
RELH,-0.5413721749558985
SRAD,0.35015389308190575
WDSD,0.3165846308503896
WDIR,0.29993026994372113
WDMX,0.20168694010969027
THMP,0.17620246893297267
TAIR,0.17600859210447434
TDPT,-0.08562367600785677
PRCP,0.06182233053095591
