,WSSD
WSSD,1.0
WSMX,0.8581011341095023
WSPD,0.808522326147628
RELH,-0.5678535769823168
WSMN,0.5219158873701039
WDSD,0.43647543472653905
SRAD,0.40016838777367114
WDIR,0.33118546471966703
WDMX,0.2289324325701417
THMP,0.21341926630502392
TAIR,0.21255332678337951
TDPT,-0.06379180499125472
PRCP,0.05879641775262681
