,WSMN
WSMN,1.0
WSPD,0.70434532220273
WSMX,0.6470454836255148
WSSD,0.5424702461601314
RELH,-0.33954446519745773
WDIR,0.17578802713584762
SRAD,0.16989394858888648
WDMX,0.11109268334525302
WDSD,0.09473243032284726
TDPT,-0.08664585468688375
TAIR,0.0755039918671118
THMP,0.07454263377559568
PRCP,0.048465948303650815
